   actuatorID  xPosition   yPosition   zPosition   xForceVector    yForceVector    zForceVector
   2.1100000e+02   1.2232600e+02  -2.2701000e+01  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
   2.1200000e+02   1.4853900e+02  -2.2701000e+01  -2.5120000e+00  -1.0000000e+00   0.0000000e+00   1.0000000e+00
   2.1400000e+02   3.0582000e+01  -4.5402000e+01  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
   2.1500000e+02   5.6794000e+01  -4.5402000e+01  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
   2.1600000e+02   8.3007000e+01  -4.5402000e+01  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
   2.1700000e+02   1.0922000e+02  -4.5402000e+01  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
   2.1800000e+02   1.3543300e+02  -4.5402000e+01  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
   2.1900000e+02   1.5356300e+02  -3.9279000e+01  -2.5120000e+00   0.0000000e+00   0.0000000e+00   1.0000000e+00
   2.2000000e+02   1.7475000e+01  -6.8103000e+01  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
   2.2100000e+02   4.3688000e+01  -6.8103000e+01  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
   2.2200000e+02   6.9901000e+01  -6.8103000e+01  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
   2.2300000e+02   9.6113000e+01  -6.8103000e+01  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
   2.2400000e+02   1.2232600e+02  -6.8103000e+01  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
   2.2500000e+02   1.4663200e+02  -5.9762000e+01  -2.5120000e+00   0.0000000e+00   0.0000000e+00   1.0000000e+00
   2.2700000e+02   3.0582000e+01  -9.0804000e+01  -2.5120000e+00   0.0000000e+00   1.0000000e+00   1.0000000e+00
